old_url,new_path
https://help.oxfordabstracts.com/knowledge/how-to-edit-automated-emails-for-delegate-registration-2.0-2023-version,/07-delegate-registration/editing-automated-emails-for-delegate-registration
https://help.oxfordabstracts.com/knowledge/how-to-edit-your-delegate-registration-event-details-page,/07-delegate-registration/editing-your-delegate-registration-ticket-details-page
https://help.oxfordabstracts.com/knowledge/how-to-email-session-chairs-from-the-dashboard,/05-emails/emailing-session-chairs-from-the-dashboard
https://help.oxfordabstracts.com/knowledge/how-to-embed-the-online-programme-to-your-events-website,/06-programme-exports-reports/publishing-your-program
https://help.oxfordabstracts.com/knowledge/how-to-enable-and-disable-inline-comments-as-an-admin,/02-submissions/turning-inline-comments-on-and-off
https://help.oxfordabstracts.com/knowledge/how-to-include-a-submission-which-is-not-in-a-session-in-the-title-listing,/06-programme-exports-reports/adding-a-session-less-submission-to-the-title-listing
https://help.oxfordabstracts.com/knowledge/how-to-integrate-eventsair-to-oxford-abstracts,/10-integrations-api/integrating-eventsair-to-oxford-abstracts
https://help.oxfordabstracts.com/knowledge/how-to-integrate-oxford-abstracts-and-cvent,/10-integrations-api/integrating-oxford-abstracts-and-cvent
https://help.oxfordabstracts.com/knowledge/how-to-integrate-oxford-abstracts-and-idloom,/10-integrations-api/integrating-oxford-abstracts-and-idloom
https://help.oxfordabstracts.com/knowledge/how-to-integrate-oxford-abstracts-and-swapcard,/10-integrations-api/integrating-oxford-abstracts-and-swapcard
https://help.oxfordabstracts.com/knowledge/how-to-lock-and-change-the-timezone-for-your-virtual-conference,/06-programme-exports-reports/locking-and-change-the-timezone-for-your-conference
https://help.oxfordabstracts.com/knowledge/how-to-make-a-session-cross-two-columns-in-the-program-timetable,/08-conference-platform/making-a-session-cross-columns-in-the-program-timetable
https://help.oxfordabstracts.com/knowledge/how-to-manage-orders-on-the-attendee-table,/07-delegate-registration/managing-orders-and-edit-the-attendee-table
https://help.oxfordabstracts.com/knowledge/how-to-permanently-delete-your-event,/11-account-administration/permanently-delete-or-archive-your-event
https://help.oxfordabstracts.com/knowledge/how-to-preview-and-publish-your-event-registration,/07-delegate-registration/previewing-and-publish-your-event-registration
https://help.oxfordabstracts.com/knowledge/how-to-reassign-a-registration-email-address-on-delegate-registration-2.0-2023-version,/07-delegate-registration/changing-the-email-address-on-a-registration
https://help.oxfordabstracts.com/knowledge/how-to-refund-attendees-delegate-registration,/07-delegate-registration/refunding-an-attendee-through-delegate-registration
